Intercept,school[T.MS],sex[T.M],address[T.U],famsize[T.LE3],Pstatus[T.T],Mjob[T.health],Mjob[T.other],Mjob[T.services],Mjob[T.teacher],Fjob[T.health],Fjob[T.other],Fjob[T.services],Fjob[T.teacher],reason[T.home],reason[T.other],reason[T.reputation],guardian[T.mother],guardian[T.other],schoolsup[T.yes],famsup[T.yes],paid[T.yes],activities[T.yes],nursery[T.yes],higher[T.yes],internet[T.yes],romantic[T.yes],age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,4.0,4.0,1.0,1.0,0.0,5.0,4.0,2.0,1.0,1,5.0,0.0,12.0,15.0,15.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,4.0,2.0,1.0,2.0,0.0,4.0,5.0,1.0,1.0,3,5.0,2.0,15.0,15.0,16.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,2.0,2.0,2.0,2.0,0.0,5.0,4.0,4.0,2.0,4,5.0,0.0,13.0,13.0,12.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,2.0,4.0,1.0,3.0,0.0,4.0,3.0,2.0,1.0,1,5.0,2.0,10.0,9.0,8.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,16.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3,5.0,14.0,6.0,9.0,8.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,2,5.0,2.0,12.0,12.0,11.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,4,1.0,4.0,15.0,16.0,15.0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,3.0,4.0,1.0,2.0,0.0,5.0,3.0,3.0,1.0,1,5.0,4.0,11.0,11.0,11.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,4.0,4.0,1.0,2.0,0.0,4.0,4.0,5.0,5.0,5,5.0,16.0,10.0,12.0,11.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,4.0,4.0,1.0,2.0,0.0,5.0,4.0,2.0,3.0,4,5.0,0.0,9.0,11.0,12.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,4.0,4.0,2.0,2.0,0.0,4.0,3.0,1.0,1.0,1,5.0,0.0,17.0,16.0,17.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,4.0,3.0,1.0,2.0,0.0,4.0,5.0,2.0,1.0,1,5.0,0.0,17.0,16.0,16.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,15.0,3.0,3.0,1.0,2.0,0.0,5.0,3.0,2.0,1.0,1,2.0,0.0,8.0,10.0,12.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,16.0,3.0,2.0,1.0,1.0,0.0,5.0,4.0,3.0,1.0,1,5.0,0.0,12.0,14.0,15.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,2.0,3.0,2.0,1.0,0.0,3.0,5.0,1.0,1.0,1,5.0,0.0,8.0,7.0,6.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,4.0,3.0,1.0,3.0,0.0,5.0,4.0,3.0,1.0,1,4.0,2.0,15.0,16.0,18.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,4.0,4.0,2.0,3.0,0.0,2.0,4.0,3.0,1.0,1,5.0,7.0,15.0,16.0,15.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,3.0,4.0,1.0,3.0,0.0,4.0,3.0,2.0,1.0,1,5.0,2.0,12.0,12.0,11.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,1,2.0,8.0,14.0,13.0,13.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,16.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2,3.0,25.0,7.0,10.0,11.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,4.0,4.0,1.0,1.0,0.0,5.0,4.0,3.0,2.0,4,5.0,8.0,12.0,12.0,12.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,4.0,4.0,1.0,2.0,0.0,4.0,3.0,3.0,1.0,1,5.0,2.0,19.0,18.0,18.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0,2.0,2.0,1.0,1.0,0.0,5.0,4.0,1.0,1.0,1,1.0,0.0,8.0,8.0,11.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,2,5.0,14.0,10.0,10.0,9.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,4.0,3.0,1.0,2.0,0.0,5.0,2.0,2.0,1.0,1,5.0,8.0,8.0,8.0,6.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,3.0,3.0,1.0,2.0,0.0,2.0,3.0,5.0,1.0,4,3.0,12.0,11.0,12.0,11.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,4.0,3.0,1.0,4.0,0.0,4.0,2.0,2.0,1.0,1,2.0,4.0,19.0,19.0,20.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,4.0,2.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,2,5.0,2.0,15.0,15.0,14.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,15.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,1.0,1,3.0,2.0,7.0,7.0,7.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,2.0,2.0,3.0,2.0,0.0,4.0,3.0,3.0,2.0,3,4.0,2.0,12.0,13.0,13.0
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,4.0,2.0,1.0,2.0,0.0,4.0,3.0,3.0,1.0,1,5.0,2.0,11.0,13.0,13.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,4.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,3.0,4,5.0,6.0,11.0,11.0,10.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,4.0,2.0,3,5.0,0.0,8.0,10.0,11.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,3.0,3.0,1.0,1.0,0.0,5.0,3.0,4.0,4.0,4,1.0,6.0,10.0,13.0,13.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,1.0,2.0,0.0,5.0,3.0,4.0,1.0,1,2.0,8.0,8.0,9.0,10.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,4.0,3.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,1,1.0,0.0,14.0,15.0,15.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,4.0,4.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,1,5.0,4.0,14.0,15.0,15.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,2.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,1,5.0,2.0,9.0,10.0,9.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,4.0,2.0,1.0,2.0,0.0,4.0,2.0,3.0,1.0,1,5.0,2.0,15.0,16.0,16.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,4.0,4.0,1.0,2.0,0.0,2.0,4.0,4.0,2.0,3,4.0,6.0,10.0,11.0,11.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,1.0,4.0,1.0,0.0,5.0,5.0,5.0,5.0,5,5.0,6.0,10.0,8.0,11.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,1.0,2.0,1.0,2.0,0.0,4.0,4.0,3.0,1.0,1,1.0,4.0,8.0,10.0,9.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,16.0,4.0,3.0,1.0,3.0,0.0,3.0,4.0,4.0,2.0,4,4.0,2.0,10.0,9.0,9.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,4.0,3.0,1.0,2.0,0.0,4.0,4.0,4.0,2.0,4,2.0,0.0,10.0,10.0,10.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,4.0,3.0,3.0,2.0,0.0,5.0,4.0,3.0,1.0,2,1.0,2.0,16.0,15.0,15.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,15.0,4.0,4.0,1.0,4.0,0.0,1.0,3.0,3.0,5.0,5,3.0,4.0,13.0,13.0,12.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,3.0,1.0,1.0,4.0,0.0,4.0,3.0,3.0,1.0,2,5.0,4.0,7.0,7.0,6.0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,3.0,1.0,3,4.0,2.0,8.0,9.0,8.0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,3.0,1.0,2.0,4.0,0.0,4.0,4.0,2.0,2.0,3,3.0,12.0,16.0,16.0,16.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,3.0,1.0,2.0,4.0,0.0,4.0,3.0,2.0,1.0,1,5.0,0.0,13.0,15.0,15.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0,4.0,2.0,1.0,4.0,0.0,3.0,3.0,3.0,1.0,1,3.0,0.0,10.0,10.0,10.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4,5.0,2.0,8.0,6.0,5.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,3.0,1.0,1.0,1.0,0.0,5.0,3.0,2.0,2.0,2,5.0,2.0,12.0,12.0,14.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,16.0,3.0,3.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,4,5.0,54.0,11.0,12.0,11.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,4.0,3.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,3,5.0,6.0,9.0,9.0,10.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,4.0,0.0,2.0,4.0,0.0,3.0,4.0,3.0,1.0,1,1.0,8.0,11.0,11.0,10.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,2.0,2.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,3,3.0,0.0,11.0,11.0,11.0
